"Rnk","Team","Gms","poss","seconds&nbsp ▲...5","seconds&nbsp ▲...6","points...7","points...8","%...9","seconds...10","seconds...11","points...12","points...13","%...14","seconds...15","seconds...16","points...17","points...18","%...19","seconds...20","seconds...21","points...22","points...23","Season","Year"
"9","CLE","82","7,919","15.1","9","0.95","27","52%","18.2","11","0.90","28","35%","12.1","9","0.93","28","11%","10.0","3","1.15","13",2003,2003
"10","DAL","82","7,766","15.2","10","1.09","1","51%","18.0","6","1.05","1","35%","12.1","11","1.09","1","11%","11.7","23","1.16","8",2003,2003
"11","MEM","82","7,853","15.3","11","1.02","16","53%","18.5","16","0.94","25","34%","11.3","1","1.06","4","11%","10.8","7","1.17","4",2003,2003
"12","PHI","82","7,785","15.3","12","1.02","14","50%","18.7","19","0.99","11","34%","12.0","8","0.99","22","13%","10.3","5","1.16","5",2003,2003
"13","IND","82","7,749","15.4","13","1.02","12","50%","18.1","9","0.99","10","36%","12.8","20","1.00","19","11%","11.2","14","1.14","16",2003,2003
"14","LAL","82","7,837","15.4","14","1.05","4","52%","18.0","8","1.04","2","35%","12.7","19","1.04","8","11%","11.2","15","1.09","25",2003,2003
"15","MIL","82","7,661","15.4","15","1.06","2","53%","18.4","13","1.01","4","33%","11.9","7","1.09","2","11%","11.2","13","1.16","9",2003,2003
"16","LAC","82","7,675","15.4","16","1.00","22","52%","18.3","12","0.95","23","35%","12.1","10","1.01","16","10%","11.2","12","1.13","20",2003,2003
"17","NYK","82","7,658","15.6","17","1.03","11","53%","18.4","14","1.00","9","34%","12.4","16","1.01","14","11%","11.6","22","1.11","22",2003,2003
"18","BOS","82","7,654","15.6","18","0.99","24","50%","18.9","21","0.97","19","35%","12.3","12","0.96","26","12%","11.6","21","1.10","24",2003,2003
"19","DEN","82","7,630","15.7","19","0.90","29","51%","18.7","18","0.84","29","33%","12.5","17","0.92","29","13%","11.7","24","1.05","27",2003,2003
"20","SAS","82","7,624","15.7","20","1.03","10","50%","18.6","17","0.98","13","36%","12.9","21","1.05","5","11%","11.9","27","1.13","19",2003,2003
"21","NOH","82","7,580","15.9","21","1.02","19","50%","18.9","20","1.00","8","36%","13.0","22","0.97","24","12%","11.5","20","1.15","10",2003,2003
"22","POR","82","7,526","16.0","22","1.04","7","50%","19.0","22","0.98","14","35%","13.1","24","1.04","6","13%","11.3","16","1.19","2",2003,2003
"23","UTA","82","7,518","16.2","23","1.03","8","51%","19.1","23","0.96","21","34%","13.4","27","1.04","7","12%","11.5","19","1.16","6",2003,2003
"24","TOR","82","7,544","16.2","24","0.99","25","53%","19.4","26","0.97","15","34%","12.6","18","0.97","25","11%","11.5","18","1.04","28",2003,2003
"25","MIA","82","7,418","16.3","25","0.95","28","50%","19.1","24","0.92","27","36%","13.4","26","0.93","27","11%","12.4","28","1.06","26",2003,2003
"26","HOU","82","7,563","16.3","26","1.02","18","50%","19.6","27","0.96","20","37%","13.0","23","1.00","20","10%","11.4","17","1.18","3",2003,2003
"27","SEA","82","7,432","16.5","27","1.02","17","51%","19.7","29","0.96","22","35%","13.2","25","1.01","15","12%","11.8","25","1.22","1",2003,2003
"28","WAS","82","7,435","16.5","28","1.01","21","51%","19.4","25","0.97","17","35%","13.7","29","1.00","17","11%","11.9","26","1.13","21",2003,2003
"29","DET","82","7,340","16.7","29","1.02","13","51%","19.7","28","0.97","16","36%","13.4","28","1.03","10","10%","12.6","29","1.13","17",2003,2003
"1","BOS","82","7,819","14.4","1","1.00","16","51%","17.5","4","0.95","20","34%","11.1","1","1.01","9","12%","9.9","4","1.12","19",2004,2004
"2","PHX","82","7,752","14.6","2","1.00","20","52%","17.3","1","0.95","19","34%","11.8","5","0.99","18","12%","10.2","8","1.17","9",2004,2004
"3","DAL","82","7,856","14.6","3","1.10","1","53%","17.3","3","1.07","1","35%","11.7","4","1.09","2","10%","10.1","6","1.20","2",2004,2004
"4","SAC","82","7,806","14.7","4","1.08","2","52%","17.3","2","1.03","3","35%","12.2","11","1.09","1","11%","9.6","1","1.19","3",2004,2004
"5","DEN","82","7,831","14.9","5","1.02","9","53%","17.7","5","0.97","14","33%","11.7","3","1.02","7","12%","10.6","12","1.17","8",2004,2004
"6","WAS","82","7,811","15.2","6","0.96","27","53%","18.2","11","0.92","29","33%","12.0","6","0.96","26","11%","9.7","3","1.13","16",2004,2004
"7","CHI","82","7,778","15.2","7","0.95","29","52%","18.0","6","0.93","27","35%","12.2","10","0.94","28","10%","10.5","10","1.03","29",2004,2004
"8","LAL","82","7,756","15.2","8","1.04","5","51%","18.1","7","1.02","4","36%","12.2","12","1.03","5","11%","10.9","19","1.09","24",2004,2004
"9","MEM","82","7,728","15.3","9","1.03","7","52%","18.7","18","0.97","12","33%","11.4","2","1.02","8","12%","10.6","13","1.22","1",2004,2004
"10","MIL","82","7,717","15.3","10","1.04","4","54%","18.3","12","1.01","5","35%","12.0","7","1.05","4","9%","10.2","7","1.10","23",2004,2004
"11","NJN","82","7,514","15.3","11","0.98","24","50%","18.6","16","0.94","25","36%","12.4","14","0.97","25","11%","9.7","2","1.14","13",2004,2004
"12","ATL","82","7,748","15.3","12","0.98","25","52%","18.3","14","0.95","23","36%","12.0","8","0.99","21","10%","10.9","18","1.12","17",2004,2004
"13","NYK","82","7,619","15.5","13","0.99","23","51%","18.3","13","0.98","10","36%","12.6","16","0.98","23","9%","10.8","17","1.04","28",2004,2004
"14","LAC","82","7,672","15.5","14","1.01","11","54%","18.2","10","0.98","8","34%","12.7","18","1.01","12","10%","10.0","5","1.16","11",2004,2004
"15","MIN","82","7,470","15.6","15","1.04","6","50%","18.1","8","1.03","2","38%","13.1","22","1.01","10","9%","11.6","23","1.12","20",2004,2004
"16","SEA","82","7,587","15.6","16","1.05","3","54%","18.4","15","1.01","6","33%","12.5","15","1.06","3","10%","10.8","15","1.16","12",2004,2004
"17","ORL","82","7,642","15.7","17","1.01","12","55%","18.2","9","0.97","11","33%","12.7","17","0.99","17","9%","10.3","9","1.18","5",2004,2004
"18","CLE","82","7,636","15.7","18","1.00","18","51%","18.8","19","0.95","22","37%","12.4","13","0.99","20","10%","10.8","16","1.19","4",2004,2004
"19","SAS","82","7,496","15.9","19","1.00","14","49%","18.7","17","0.95","18","38%","13.3","24","1.00","14","10%","11.8","25","1.12","18",2004,2004
"20","NOH","82","7,529","15.9","20","1.00","15","52%","19.0","21","0.96","15","35%","12.9","20","1.01","11","11%","10.5","11","1.11","21",2004,2004
"21","DET","82","7,407","16.0","21","1.00","19","50%","19.3","23","0.95","17","37%","12.9","21","1.00","16","11%","11.2","22","1.09","26",2004,2004
"22","GSW","82","7,592","16.1","22","1.01","13","53%","18.8","20","0.98","9","36%","13.2","23","1.00","15","9%","11.0","20","1.13","15",2004,2004
"23","PHI","82","7,465","16.2","23","0.97","26","51%","19.6","26","0.93","28","35%","12.8","19","0.98","24","11%","11.1","21","1.06","27",2004,2004
"24","MIA","82","7,412","16.2","24","1.00","17","51%","20.1","28","0.95","16","36%","12.1","9","0.98","22","10%","10.8","14","1.18","6",2004,2004
"25","HOU","82","7,425","16.5","25","0.99","22","50%","19.2","22","0.97","13","39%","14.1","27","0.95","27","9%","12.2","29","1.11","22",2004,2004
"26","IND","82","7,360","16.6","26","1.02","8","50%","19.4","24","0.95","24","36%","14.3","28","1.02","6","12%","11.7","24","1.16","10",2004,2004
"27","TOR","82","7,393","16.8","27","0.95","28","52%","19.5","25","0.94","26","35%","13.9","26","0.90","29","10%","12.1","28","1.09","25",2004,2004
"28","POR","82","7,330","17.1","28","1.02","10","52%","20.3","29","0.98","7","35%","13.7","25","1.00","13","11%","11.9","26","1.14","14",2004,2004
"29","UTA","82","7,312","17.2","29","0.99","21","54%","19.8","27","0.95","21","34%","14.5","29","0.99","19","10%","11.9","27","1.17","7",2004,2004
"1","PHX","82","8,058","13.5","1","1.12","1","53%","15.8","1","1.09","1","36%","10.9","2","1.13","1","9%","9.9","7","1.27","2",2005,2005
"2","PHI","82","8,025","13.9","2","1.01","24","52%","16.9","3","0.97","23","35%","10.7","1","1.01","24","11%","9.4","2","1.11","26",2005,2005
"3","ORL","82","7,928","14.3","3","1.03","20","53%","16.8","2","0.96","28","35%","11.6","7","1.06","7","10%","9.8","6","1.23","6",2005,2005
"4","BOS","82","7,898","14.4","4","1.05","9","53%","17.1","4","1.01","13","34%","11.3","3","1.05","8","10%","10.0","8","1.22","9",2005,2005
"5","WAS","82","7,867","14.7","5","1.05","11","54%","17.8","8","1.00","15","33%","11.4","5","1.03","17","11%","9.0","1","1.26","3",2005,2005
"6","SAC","82","7,872","14.7","6","1.08","4","53%","17.4","5","1.03","4","34%","11.9","10","1.09","4","10%","9.5","3","1.19","14",2005,2005
"7","DAL","82","7,792","14.7","7","1.08","5","52%","17.5","6","1.02","8","35%","11.9","11","1.08","5","11%","10.0","9","1.23","7",2005,2005
"8","DEN","82","7,833","14.8","8","1.04","14","53%","17.8","9","0.99","16","34%","11.4","6","1.03","19","11%","9.6","4","1.18","17",2005,2005
"9","GSW","82","7,910","15.0","9","1.02","23","54%","18.1","12","0.98","19","33%","11.4","4","1.03","20","10%","9.8","5","1.14","20",2005,2005
"10","CHI","82","7,772","15.1","10","1.00","26","52%","17.6","7","0.96","27","36%","12.3","13","0.98","26","9%","11.1","22","1.10","29",2005,2005
"11","TOR","82","7,800","15.1","11","1.05","10","54%","17.9","10","1.02","9","34%","11.8","8","1.05","12","9%","10.5","13","1.12","25",2005,2005
"12","CHA","82","7,811","15.5","12","0.99","28","54%","18.0","11","0.97","26","32%","12.5","16","0.98","28","11%","11.3","24","1.14","22",2005,2005
"13","ATL","82","7,751","15.6","13","0.98","29","55%","18.6","15","0.95","30","33%","12.1","12","0.98","27","10%","10.3","12","1.16","18",2005,2005
"14","LAL","82","7,653","15.7","14","1.06","7","54%","18.9","23","1.01","12","36%","11.9","9","1.07","6","8%","10.5","14","1.23","8",2005,2005
"15","MIA","82","7,684","15.8","15","1.08","3","52%","18.9","19","1.05","2","37%","12.5","15","1.10","3","9%","10.7","16","1.19","15",2005,2005
"16","NYK","82","7,678","15.8","16","1.04","15","54%","18.5","13","1.01","11","33%","12.6","19","1.04","13","10%","11.1","21","1.10","28",2005,2005
"17","MIN","82","7,474","15.8","17","1.06","6","53%","18.5","14","1.03","5","37%","12.6","18","1.05","9","8%","11.5","27","1.18","16",2005,2005
"18","POR","82","7,531","15.8","18","1.01","25","53%","18.9","21","0.97","25","35%","12.4","14","1.02","22","9%","10.1","10","1.19","13",2005,2005
"19","HOU","82","7,511","16.0","19","1.04","16","51%","18.8","16","1.03","7","38%","13.2","25","1.01","25","9%","11.1","23","1.21","11",2005,2005
"20","LAC","82","7,620","16.0","20","1.03","19","53%","18.9","18","0.99","18","35%","13.0","20","1.04","15","9%","10.5","15","1.14","19",2005,2005
"21","NJN","82","7,552","16.0","21","0.99","27","52%","18.9","20","0.97","24","35%","13.1","23","0.97","30","10%","10.9","19","1.14","21",2005,2005
"22","MIL","82","7,637","16.0","22","1.04","13","55%","18.8","17","1.02","10","34%","13.0","21","1.03","21","9%","10.2","11","1.25","4",2005,2005
"23","CLE","82","7,565","16.2","23","1.05","12","53%","19.4","28","0.99","17","34%","12.6","17","1.05","10","10%","10.9","18","1.30","1",2005,2005
"24","SAS","82","7,495","16.2","24","1.05","8","51%","19.0","25","1.03","6","36%","13.3","26","1.04","14","11%","12.4","29","1.11","27",2005,2005
"25","MEM","82","7,411","16.3","25","1.03","18","53%","19.3","27","0.98","21","34%","13.2","24","1.03","18","11%","10.9","20","1.19","12",2005,2005
"26","NOH","82","7,426","16.5","26","0.98","30","55%","19.1","26","0.95","29","34%","13.4","27","0.97","29","9%","11.5","26","1.07","30",2005,2005
"27","SEA","82","7,401","16.5","27","1.10","2","54%","18.9","22","1.05","3","34%","13.7","29","1.10","2","9%","11.8","28","1.24","5",2005,2005
"28","DET","82","7,393","16.6","28","1.04","17","51%","20.0","30","0.98","20","37%","13.1","22","1.04","16","9%","10.7","17","1.22","10",2005,2005
"29","IND","82","7,421","16.7","29","1.03","21","52%","19.0","24","0.98","22","35%","14.5","30","1.05","11","10%","12.6","30","1.14","23",2005,2005
"30","UTA","82","7,450","16.7","30","1.02","22","56%","19.4","29","1.00","14","33%","13.5","28","1.02","23","9%","11.4","25","1.13","24",2005,2005
"1","PHX","82","8,097","13.7","1","1.10","1","54%","15.7","1","1.08","1","35%","11.4","2","1.10","3","8%","10.0","8","1.19","12",2006,2006
"2","DEN","82","7,907","14.3","2","1.04","15","53%","17.4","4","0.98","26","34%","10.8","1","1.05","11","10%","9.1","1","1.20","11",2006,2006
"3","CHI","82","7,826","14.5","3","1.02","21","53%","16.8","2","1.01","10","36%","11.9","6","1.01","23","8%","10.6","16","1.17","18",2006,2006
"4","CHA","82","7,905","14.8","4","1.00","28","54%","17.4","6","0.97","28","31%","11.8","5","0.99","27","12%","10.0","7","1.12","26",2006,2006
"5","GSW","82","7,850","14.8","5","1.03","20","54%","17.6","7","0.99","20","34%","11.5","3","1.04","12","9%","9.4","2","1.11","27",2006,2006
"6","BOS","82","7,780","14.8","6","1.03","18","54%","17.4","5","1.00","19","34%","11.9","7","1.04","13","9%","10.1","10","1.12","25",2006,2006
"7","SEA","82","7,726","15.0","7","1.09","3","57%","17.3","3","1.05","4","31%","12.0","8","1.11","1","10%","10.3","13","1.20","10",2006,2006
"8","WAS","82","7,765","15.0","8","1.07","5","55%","17.9","9","1.03","9","33%","11.7","4","1.07","8","10%","9.5","3","1.23","4",2006,2006
"9","LAC","82","7,737","15.1","9","1.03","19","51%","17.8","8","1.01","12","37%","12.3","15","1.02","19","9%","10.6","17","1.07","29",2006,2006
"10","PHI","82","7,829","15.2","10","1.04","14","54%","17.9","11","1.00","18","33%","12.1","11","1.03","15","10%","9.6","4","1.21","8",2006,2006
"11","SAC","82","7,749","15.2","11","1.05","11","53%","18.1","12","1.01","11","35%","12.2","14","1.04","14","9%","9.7","5","1.21","9",2006,2006
"12","LAL","82","7,668","15.4","12","1.06","8","53%","18.2","13","1.03","8","35%","12.6","18","1.07","7","10%","10.5","14","1.22","7",2006,2006
"13","MIA","82","7,680","15.4","13","1.07","7","52%","18.5","19","1.04","5","37%","12.1","12","1.03","16","8%","10.5","15","1.24","3",2006,2006
"14","MIL","82","7,686","15.5","14","1.04","13","54%","18.4","16","0.99","24","34%","12.4","16","1.05","10","10%","10.2","11","1.27","1",2006,2006
"15","ATL","82","7,670","15.6","15","1.04","16","56%","18.4","15","1.01","13","32%","12.2","13","1.02","20","9%","10.3","12","1.18","15",2006,2006
"16","TOR","82","7,720","15.6","16","1.07","6","57%","18.3","14","1.04","6","32%","12.1","9","1.08","5","8%","11.0","21","1.16","19",2006,2006
"17","NYK","82","7,677","15.7","17","1.02","23","55%","17.9","10","0.99","21","34%","13.3","22","1.01","24","9%","10.1","9","1.16","20",2006,2006
"18","NJN","82","7,555","15.8","18","1.02","24","52%","19.0","23","1.00","14","37%","12.4","17","0.98","28","9%","10.7","18","1.17","17",2006,2006
"19","IND","82","7,526","16.0","19","1.02","22","51%","18.5","18","1.00","17","37%","13.4","24","1.02","21","9%","11.6","27","1.07","30",2006,2006
"20","HOU","82","7,393","16.1","20","1.00","29","51%","18.5","17","0.97","29","37%","13.8","28","0.98","30","10%","11.5","26","1.15","21",2006,2006
"21","MIN","82","7,445","16.1","21","1.01","27","53%","18.9","21","0.98","25","35%","12.9","20","0.98","29","9%","11.4","25","1.19","13",2006,2006
"22","CLE","82","7,543","16.2","22","1.06","9","53%","19.9","28","1.00","16","36%","12.1","10","1.10","4","9%","9.9","6","1.22","6",2006,2006
"23","NOK","82","7,520","16.3","23","1.01","26","54%","19.4","26","0.98","27","34%","12.7","19","1.00","26","10%","10.8","20","1.18","16",2006,2006
"24","SAS","82","7,447","16.3","24","1.05","10","52%","19.0","22","1.03","7","37%","13.6","26","1.03","17","9%","12.4","29","1.13","24",2006,2006
"25","ORL","82","7,457","16.4","25","1.04","12","54%","18.9","20","0.99","22","35%","13.8","27","1.06","9","9%","10.7","19","1.22","5",2006,2006
"26","DAL","82","7,434","16.4","26","1.09","2","53%","19.4","25","1.05","3","35%","13.0","21","1.10","2","9%","11.2","22","1.24","2",2006,2006
"27","POR","82","7,329","16.6","27","0.99","30","56%","19.1","24","0.95","30","33%","13.5","25","1.01","22","9%","11.2","23","1.11","28",2006,2006
"28","DET","82","7,301","16.9","28","1.09","4","53%","20.1","30","1.06","2","35%","13.3","23","1.08","6","10%","11.6","28","1.15","22",2006,2006
"29","UTA","82","7,448","17.0","29","1.02","25","55%","19.6","27","0.99","23","34%","14.2","30","1.00","25","8%","11.4","24","1.18","14",2006,2006
"30","MEM","82","7,280","17.1","30","1.04","17","52%","20.0","29","1.00","15","35%","14.1","29","1.03","18","10%","12.6","30","1.13","23",2006,2006
"1","GSW","82","8,296","13.5","1","1.05","10","55%","16.1","2","1.01","16","32%","10.5","1","1.06","5","11%","8.7","1","1.19","13",2007,2007
"2","PHX","82","8,029","13.8","2","1.13","1","55%","15.8","1","1.07","1","35%","11.5","4","1.13","1","8%","9.9","6","1.29","2",2007,2007
"3","DEN","82","8,137","13.9","3","1.06","8","54%","16.8","3","1.02","10","34%","10.6","2","1.05","9","10%","9.1","3","1.24","3",2007,2007
"4","CHI","82","7,842","14.5","4","1.03","20","52%","17.0","4","1.00","19","35%","11.8","6","1.01","24","10%","10.3","14","1.17","20",2007,2007
"5","WAS","82","7,917","14.7","5","1.08","3","56%","17.6","7","1.03","6","32%","11.4","3","1.07","3","9%","8.9","2","1.29","1",2007,2007
"6","SAC","82","7,932","14.7","6","1.05","14","55%","17.1","5","1.01","14","33%","12.1","10","1.03","20","10%","9.8","5","1.19","15",2007,2007
"7","MEM","82","7,930","15.1","7","1.05","13","56%","17.5","6","1.01","17","32%","12.0","8","1.07","4","9%","10.7","20","1.14","28",2007,2007
"8","TOR","82","7,757","15.1","8","1.05","12","54%","17.6","8","1.01","18","35%","12.3","12","1.06","7","9%","10.4","17","1.22","7",2007,2007
"9","MIL","82","7,760","15.2","9","1.05","11","56%","17.8","10","1.02","11","32%","12.0","9","1.05","13","9%","9.8","4","1.16","22",2007,2007
"10","NJN","82","7,724","15.3","10","1.04","18","54%","18.2","17","1.02","9","35%","11.7","5","1.00","27","8%","10.6","19","1.21","10",2007,2007
"11","LAL","82","7,951","15.3","11","1.07","7","55%","18.1","15","1.04","5","34%","12.2","11","1.05","11","9%","10.0","8","1.22","8",2007,2007
"12","IND","82","7,738","15.3","12","1.01","29","55%","17.7","9","0.95","30","34%","12.7","17","1.05","15","9%","10.4","18","1.14","27",2007,2007
"13","MIN","82","7,731","15.4","13","1.02","25","54%","17.9","13","0.99","21","35%","12.7","18","1.01","25","9%","10.3","15","1.17","19",2007,2007
"14","SEA","82","7,707","15.4","14","1.05","9","55%","17.8","11","1.01","13","32%","12.8","19","1.06","8","10%","10.7","21","1.15","24",2007,2007
"15","BOS","82","7,729","15.5","15","1.02","28","55%","18.3","18","0.98","28","34%","12.4","13","0.99","30","9%","9.9","7","1.23","6",2007,2007
"16","PHI","82","7,652","15.5","16","1.02","26","55%","18.6","22","0.96","29","33%","11.8","7","1.04","17","9%","10.2","12","1.20","11",2007,2007
"17","HOU","82","7,643","15.6","17","1.04","15","51%","17.8","12","1.01","15","37%","13.5","29","1.03","19","9%","11.3","26","1.10","30",2007,2007
"18","CHA","82","7,812","15.7","18","1.02","27","55%","18.0","14","0.98","26","33%","12.9","20","1.02","22","10%","11.4","28","1.14","29",2007,2007
"19","LAC","82","7,595","15.7","19","1.03","21","53%","18.3","19","1.01","12","36%","13.0","23","0.99","28","9%","10.2","13","1.18","18",2007,2007
"20","NYK","82","7,710","15.7","20","1.04","17","54%","18.5","20","0.99","22","35%","12.7","16","1.05","10","8%","10.2","11","1.19","14",2007,2007
"21","CLE","82","7,643","15.9","21","1.04","16","52%","19.0","28","0.99","20","35%","12.4","14","1.05","12","10%","10.9","22","1.15","26",2007,2007
"22","UTA","82","7,704","15.9","22","1.08","4","54%","18.1","16","1.06","2","34%","13.3","27","1.06","6","9%","11.9","30","1.15","25",2007,2007
"23","ORL","82","7,509","15.9","23","1.03","19","54%","18.6","23","0.98","24","35%","13.1","24","1.02","23","9%","10.0","9","1.24","4",2007,2007
"24","NOK","82","7,616","16.0","24","1.03","23","53%","18.5","21","0.99","23","36%","13.4","28","1.04","16","8%","10.0","10","1.19","12",2007,2007
"25","MIA","82","7,555","16.0","25","1.03","24","53%","18.8","25","0.98","27","36%","13.0","21","1.03","18","9%","10.9","23","1.16","21",2007,2007
"26","ATL","82","7,600","16.1","26","1.01","30","55%","18.9","26","0.98","25","33%","12.6","15","1.00","26","9%","11.1","24","1.15","23",2007,2007
"27","SAS","82","7,488","16.1","27","1.08","5","52%","18.8","24","1.05","3","37%","13.3","26","1.05","14","9%","11.2","25","1.18","16",2007,2007
"28","DAL","82","7,517","16.3","28","1.09","2","53%","19.3","29","1.04","4","36%","13.0","22","1.10","2","9%","10.4","16","1.24","5",2007,2007
"29","DET","82","7,380","16.7","29","1.07","6","53%","19.8","30","1.03","7","35%","13.2","25","1.03","21","10%","11.4","27","1.21","9",2007,2007
"30","POR","82","7,482","16.7","30","1.03","22","55%","19.0","27","1.02","8","33%","14.2","30","0.99","29","9%","11.8","29","1.18","17",2007,2007
"1","DEN","82","8,364","13.3","1","1.08","9","52%","15.6","2","1.05","4","35%","10.8","1","1.07","12","11%","9.0","2","1.16","23",2008,2008
"2","GSW","82","8,294","13.5","2","1.10","5","55%","16.1","4","1.04","8","33%","10.8","2","1.11","5","10%","8.3","1","1.28","4",2008,2008
"3","IND","82","8,160","13.8","3","1.04","18","54%","15.6","1","1.02","15","34%","11.6","5","1.06","16","9%","10.3","14","1.12","29",2008,2008
"4","PHX","82","8,087","13.8","4","1.12","2","54%","15.9","3","1.08","2","36%","11.1","3","1.12","3","8%","10.4","18","1.19","15",2008,2008
"5","SEA","82","8,068","14.5","5","0.99","29","54%","16.7","5","0.94","29","36%","11.8","6","1.01","28","8%","9.8","7","1.16","22",2008,2008
"6","LAL","82","8,009","14.5","6","1.11","3","52%","17.0","6","1.05","7","36%","12.1","8","1.14","1","9%","9.6","5","1.31","2",2008,2008
"7","MEM","82","7,991","14.9","7","1.03","22","55%","17.1","7","1.00","19","35%","12.2","11","1.03","20","8%","10.4","15","1.23","11",2008,2008
"8","SAC","82","7,961","14.9","8","1.06","13","54%","17.5","9","1.01","18","33%","12.1","10","1.05","18","10%","9.7","6","1.22","12",2008,2008
"9","CHI","82","7,806","15.0","9","1.02","25","54%","17.1","8","0.98","25","34%","12.7","14","1.04","19","10%","10.7","21","1.13","28",2008,2008
"10","ORL","82","7,787","15.0","10","1.10","4","53%","17.8","12","1.07","3","37%","11.9","7","1.11","4","8%","10.4","16","1.19","16",2008,2008
"11","PHI","82","7,582","15.1","11","1.04","19","53%","18.5","23","0.98","26","34%","11.5","4","1.07","13","11%","9.4","3","1.25","7",2008,2008
"12","ATL","82","7,696","15.4","12","1.05","17","54%","18.3","19","0.97","27","34%","12.1","9","1.09","7","9%","9.6","4","1.23","10",2008,2008
"13","NJN","82","7,715","15.4","13","1.02","27","54%","18.0","13","0.99","23","35%","12.4","12","1.01","27","8%","9.9","9","1.15","24",2008,2008
"14","UTA","82","7,802","15.4","14","1.12","1","54%","17.7","10","1.10","1","34%","13.2","23","1.09","8","11%","10.2","11","1.24","9",2008,2008
"15","BOS","82","7,609","15.4","15","1.08","11","50%","18.2","14","1.04","11","37%","13.1","20","1.06","15","11%","10.3","13","1.26","6",2008,2008
"16","LAC","82","7,731","15.6","16","0.99","28","54%","18.2","15","0.93","30","35%","13.0","17","1.01","29","9%","10.0","10","1.21","14",2008,2008
"17","TOR","82","7,575","15.6","17","1.08","10","53%","17.7","11","1.05","6","35%","13.6","26","1.08","11","9%","11.0","26","1.30","3",2008,2008
"18","NYK","82","7,710","15.7","18","1.03","24","55%","18.3","18","0.99","21","34%","12.6","13","1.03","22","8%","10.5","19","1.16","21",2008,2008
"19","CHA","82","7,719","15.8","19","1.03","23","54%","18.2","16","0.99","24","34%","13.2","21","1.05","17","10%","10.9","22","1.17","20",2008,2008
"20","MIL","82","7,696","15.8","20","1.03","21","56%","18.2","17","1.02","16","33%","12.9","16","1.02","24","9%","10.4","17","1.14","26",2008,2008
"21","MIN","82","7,668","15.9","21","1.02","26","54%","18.4","20","0.99","20","34%","13.2","22","1.02","25","9%","10.6","20","1.10","30",2008,2008
"22","NOH","82","7,547","15.9","22","1.10","6","52%","18.5","21","1.03","14","36%","13.4","24","1.12","2","10%","10.2","12","1.31","1",2008,2008
"23","MIA","82","7,567","16.0","23","0.99","30","55%","18.5","22","0.96","28","33%","13.1","18","0.98","30","10%","11.7","28","1.14","25",2008,2008
"24","DAL","82","7,551","16.1","24","1.09","8","53%","19.1","28","1.05","5","37%","13.1","19","1.08","9","8%","9.8","8","1.28","5",2008,2008
"25","WAS","82","7,563","16.2","25","1.07","12","53%","18.7","24","1.04","9","34%","13.5","25","1.08","10","10%","10.9","24","1.17","19",2008,2008
"26","HOU","82","7,563","16.2","26","1.05","16","51%","18.8","26","1.02","17","38%","13.9","28","1.03","23","9%","10.9","25","1.18","18",2008,2008
"27","CLE","82","7,582","16.3","27","1.04","20","53%","19.3","29","0.99","22","36%","12.9","15","1.07","14","9%","10.9","23","1.13","27",2008,2008
"28","SAS","82","7,427","16.5","28","1.05","15","52%","18.9","27","1.04","12","37%","14.0","29","1.02","26","8%","12.2","29","1.18","17",2008,2008
"29","DET","82","7,305","16.6","29","1.09","7","52%","19.6","30","1.04","13","36%","13.6","27","1.09","6","10%","11.3","27","1.24","8",2008,2008
"30","POR","82","7,411","16.7","30","1.06","14","54%","18.8","25","1.04","10","36%","14.4","30","1.03","21","8%","12.4","30","1.22","13",2008,2008
"1","GSW","82","8,299","13.8","1","1.07","11","56%","16.2","3","1.03","13","32%","10.7","1","1.09","5","9%","9.1","2","1.16","25",2009,2009
"2","NYK","82","8,120","13.8","2","1.06","18","55%","15.6","1","1.04","11","33%","11.7","4","1.05","20","9%","9.9","9","1.21","14",2009,2009
"3","PHX","82","8,005","14.1","3","1.12","1","55%","16.2","4","1.08","1","34%","11.7","3","1.11","2","9%","9.6","3","1.25","7",2009,2009
"4","IND","82","8,090","14.1","4","1.07","14","54%","16.1","2","1.03","16","35%","12.0","6","1.08","10","9%","10.4","15","1.12","29",2009,2009
"5","DEN","82","7,890","14.3","5","1.08","7","53%","17.1","5","1.05","7","35%","11.3","2","1.07","14","10%","9.6","4","1.23","11",2009,2009
"6","LAL","82","7,910","14.7","6","1.11","3","51%","17.4","10","1.07","2","35%","12.2","10","1.11","4","11%","9.8","7","1.26","5",2009,2009
"7","CHI","82","7,869","14.8","7","1.06","15","54%","17.2","6","1.00","23","34%","12.1","8","1.08","9","9%","10.1","11","1.30","1",2009,2009
"8","OKC","82","7,914","14.9","8","1.00","30","54%","17.6","12","0.96","29","34%","12.0","7","0.99","30","9%","9.6","5","1.19","20",2009,2009
"9","MIL","82","7,761","15.0","9","1.05","23","55%","17.2","7","1.02","19","33%","12.4","13","1.03","26","10%","10.2","13","1.21","15",2009,2009
"10","SAC","82","7,931","15.0","10","1.04","25","57%","17.3","9","0.98","27","32%","12.2","9","1.07","12","9%","9.9","8","1.23","12",2009,2009
"11","TOR","82","7,734","15.1","11","1.05","22","54%","17.3","8","1.00","22","35%","12.7","16","1.07","11","8%","10.6","17","1.21","16",2009,2009
"12","ORL","82","7,698","15.1","12","1.08","9","51%","17.6","13","1.07","3","38%","12.6","15","1.05","17","9%","11.1","23","1.12","30",2009,2009
