"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612764","Washington Wizards","82","29","53","0.354","3961","3010","6681","0.451","335","890","0.376","1566","2107","0.743","7921","-269","1999-00"
"1610612737","Atlanta Hawks","82","25","57","0.305","3946","2876","6668","0.431","333","933","0.357","1374","1811","0.759","7459","-427","2000-01"
"1610612738","Boston Celtics","82","36","46","0.439","3966","2773","6485","0.428","592","1633","0.363","1621","2190","0.74","7759","-175","2000-01"
"1610612766","Charlotte Hornets","82","46","36","0.561","3976","2800","6501","0.431","340","984","0.346","1599","2146","0.745","7539","172","2000-01"
"1610612741","Chicago Bulls","82","15","67","0.183","3971","2721","6411","0.424","329","950","0.346","1410","1909","0.739","7181","-746","2000-01"
"1610612739","Cleveland Cavaliers","82","30","52","0.366","3965.61333333333","2890","6532","0.442","220","659","0.334","1561","2040","0.765","7561","-348","2000-01"
"1610612742","Dallas Mavericks","82","53","29","0.646","3960.995","3085","6716","0.459","517","1357","0.381","1552","1954","0.794","8239","351","2000-01"
"1610612743","Denver Nuggets","82","40","42","0.488","3956","2979","6877","0.433","512","1444","0.355","1448","1964","0.737","7918","-202","2000-01"
"1610612765","Detroit Pistons","82","32","50","0.39","3971","2919","6880","0.424","389","1112","0.35","1610","2233","0.721","7837","-139","2000-01"
"1610612744","Golden State Warriors","82","17","65","0.207","3956","2937","7175","0.409","282","964","0.293","1428","2024","0.706","7584","-742","2000-01"
"1610612745","Houston Rockets","82","45","37","0.549","3966","2943","6494","0.453","504","1412","0.357","1582","2086","0.758","7972","188","2000-01"
"1610612754","Indiana Pacers","82","41","41","0.5","3996","2828","6431","0.44","396","1159","0.342","1539","2009","0.766","7591","-16","2000-01"
"1610612746","Los Angeles Clippers","82","31","51","0.378","4006","2896","6467","0.448","360","1063","0.339","1429","2061","0.693","7581","-237","2000-01"
"1610612747","Los Angeles Lakers","82","56","26","0.683","3981","3109","6685","0.465","439","1275","0.344","1594","2333","0.683","8251","277","2000-01"
"1610612748","Miami Heat","82","50","32","0.61","3976","2694","6258","0.43","478","1384","0.345","1423","1874","0.759","7289","188","2000-01"
"1610612749","Milwaukee Bucks","82","52","30","0.634","3956","3112","6798","0.458","562","1481","0.379","1474","1874","0.787","8260","318","2000-01"
"1610612750","Minnesota Timberwolves","82","47","35","0.573","3966","3148","6871","0.458","322","901","0.357","1364","1737","0.785","7982","111","2000-01"
"1610612751","New Jersey Nets","82","26","56","0.317","3945.645","2781","6550","0.425","361","1084","0.333","1629","2146","0.759","7552","-414","2000-01"
"1610612752","New York Knicks","82","48","34","0.585","3980.89833333333","2755","6198","0.444","391","1115","0.351","1374","1727","0.796","7275","216","2000-01"
