"X","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","OFF_RATING","PACE","POSS","Season"
100,1610612747,"Los Angeles Lakers",82,67,15,0.817,3961,105.4,95.04,7840,"1999-00"
101,1610612748,"Miami Heat",82,52,30,0.634,3966,102.5,91.22,7548,"1999-00"
102,1610612749,"Milwaukee Bucks",82,42,40,0.512,3971,106.5,94.27,7796,"1999-00"
103,1610612750,"Minnesota Timberwolves",82,50,32,0.61,3981,104.2,93.37,7751,"1999-00"
104,1610612751,"New Jersey Nets",82,31,51,0.378,3966,102.8,94.63,7820,"1999-00"
105,1610612752,"New York Knicks",82,50,32,0.61,3966,100.9,90.54,7485,"1999-00"
106,1610612753,"Orlando Magic",82,41,41,0.5,3951,101.1,98.68,8120,"1999-00"
107,1610612755,"Philadelphia 76ers",82,49,33,0.598,3966,99.9,94.25,7782,"1999-00"
108,1610612756,"Phoenix Suns",82,53,29,0.646,3961,102.7,95.67,7895,"1999-00"
109,1610612757,"Portland Trail Blazers",82,59,23,0.72,3956,106.5,91.03,7505,"1999-00"
110,1610612758,"Sacramento Kings",82,44,38,0.537,3961,103.6,100.66,8306,"1999-00"
111,1610612759,"San Antonio Spurs",82,53,29,0.646,3971,103.5,92.11,7620,"1999-00"
112,1610612760,"Seattle SuperSonics",82,45,37,0.549,3956,104,94.74,7809,"1999-00"
113,1610612761,"Toronto Raptors",82,45,37,0.549,3951,102.7,94.3,7760,"1999-00"
114,1610612762,"Utah Jazz",82,55,27,0.671,3951,105.7,90.84,7488,"1999-00"
115,1610612763,"Vancouver Grizzlies",82,22,60,0.268,3971,100.7,92.46,7647,"1999-00"
116,1610612764,"Washington Wizards",82,29,53,0.354,3961,101.8,94.33,7781,"1999-00"
117,1610612737,"Atlanta Hawks",82,25,57,0.305,3946,96.9,93.63,7695,"2000-01"
118,1610612738,"Boston Celtics",82,36,46,0.439,3966,100.1,93.81,7748,"2000-01"
119,1610612766,"Charlotte Hornets",82,46,36,0.561,3976,99.7,91.24,7565,"2000-01"
120,1610612741,"Chicago Bulls",82,15,67,0.183,3971,95.9,90.47,7486,"2000-01"
121,1610612739,"Cleveland Cavaliers",82,30,52,0.366,3966,99.3,92.32,7613,"2000-01"
122,1610612742,"Dallas Mavericks",82,53,29,0.646,3961,105.6,94.52,7803,"2000-01"
123,1610612743,"Denver Nuggets",82,40,42,0.488,3956,102.2,93.98,7751,"2000-01"
124,1610612765,"Detroit Pistons",82,32,50,0.39,3971,98.5,96.15,7955,"2000-01"
125,1610612744,"Golden State Warriors",82,17,65,0.207,3956,96.3,95.7,7879,"2000-01"
126,1610612745,"Houston Rockets",82,45,37,0.549,3966,105.2,91.66,7575,"2000-01"
127,1610612754,"Indiana Pacers",82,41,41,0.5,3996,100.3,90.89,7566,"2000-01"
128,1610612746,"Los Angeles Clippers",82,31,51,0.378,4006,100.3,90.67,7559,"2000-01"
129,1610612747,"Los Angeles Lakers",82,56,26,0.683,3981,107,92.9,7710,"2000-01"
130,1610612748,"Miami Heat",82,50,32,0.61,3976,99.4,88.39,7331,"2000-01"
131,1610612749,"Milwaukee Bucks",82,52,30,0.634,3956,106.8,93.89,7733,"2000-01"
132,1610612750,"Minnesota Timberwolves",82,47,35,0.573,3966,103.9,92.99,7679,"2000-01"
133,1610612751,"New Jersey Nets",82,26,56,0.317,3946,98.4,93.35,7674,"2000-01"
134,1610612752,"New York Knicks",82,48,34,0.585,3981,100,87.74,7276,"2000-01"
135,1610612753,"Orlando Magic",82,43,39,0.524,3991,102.1,94.14,7828,"2000-01"
136,1610612755,"Philadelphia 76ers",82,56,26,0.683,3971,101.9,92.09,7619,"2000-01"
137,1610612756,"Phoenix Suns",82,51,31,0.622,3961,98.9,94.41,7792,"2000-01"
138,1610612757,"Portland Trail Blazers",82,50,32,0.61,3956,104.7,90.53,7475,"2000-01"
139,1610612758,"Sacramento Kings",82,55,27,0.671,4016,104.2,95.61,8010,"2000-01"
140,1610612759,"San Antonio Spurs",82,58,24,0.707,3966,105,90.87,7514,"2000-01"
141,1610612760,"Seattle SuperSonics",82,44,38,0.537,3961,104.4,92.69,7643,"2000-01"
142,1610612761,"Toronto Raptors",82,47,35,0.573,3991,104.4,92.22,7671,"2000-01"
143,1610612762,"Utah Jazz",82,53,29,0.646,3956,106.1,91.08,7503,"2000-01"
144,1610612763,"Vancouver Grizzlies",82,23,59,0.28,3956,98.2,93.03,7662,"2000-01"
145,1610612764,"Washington Wizards",82,19,63,0.232,3936,99.4,93.97,7695,"2000-01"
